INFO:depchase:DEPENDENCY INFORMATION                                                          
INFO                                                            MATCH
389-ds-base-1.3.7.1-2.fc27.src                                  
├─perl-generators                                               perl-generators-1.10-5.fc27.noarch
├─python3-devel                                                 python3-devel-3.6.2-6.fc27.armv7hl
├─libtool                                                       libtool-2.4.6-20.fc27.armv7hl
├─python3-setuptools                                            python3-setuptools-36.2.0-3.fc27.noarch
├─autoconf                                                      autoconf-2.69-24.fc26.noarch
├─automake                                                      automake-1.15-9.fc26.noarch
├─zlib-devel                                                    zlib-devel-1.2.11-4.fc27.armv7hl
├─doxygen                                                       doxygen-1:1.8.13-10.fc27.armv7hl
├─openssl-devel                                                 openssl-devel-1:1.1.0f-9.fc27.armv7hl
├─gcc-c++                                                       gcc-c++-7.1.1-7.fc27.1.armv7hl
├─systemd-units                                                 systemd-234-5.fc27.armv7hl
├─bzip2-devel                                                   bzip2-devel-1.0.6-24.fc27.armv7hl
├─pcre-devel                                                    pcre-devel-8.41-1.fc27.2.armv7hl
├─pam-devel                                                     pam-devel-1.3.0-5.fc27.armv7hl
├─systemd-devel                                                 systemd-devel-234-5.fc27.armv7hl
├─openldap-devel                                                openldap-devel-2.4.45-3.fc27.armv7hl
├─libicu-devel                                                  libicu-devel-57.1-4.fc26.armv7hl
├─nss-devel                                                     nss-devel-3.32.0-2.fc27.armv7hl
├─cyrus-sasl-devel                                              cyrus-sasl-devel-2.1.26-34.fc27.armv7hl
├─libdb-devel                                                   libdb-devel-5.3.28-26.fc27.armv7hl
├─libevent-devel                                                libevent-devel-2.0.22-3.fc27.armv7hl
├─nspr-devel                                                    nspr-devel-4.16.0-1.fc27.armv7hl
├─net-snmp-devel                                                net-snmp-devel-1:5.7.3-20.fc27.armv7hl
├─lm_sensors-devel                                              lm_sensors-devel-3.4.0-6.fc26.armv7hl
├─libtalloc-devel                                               libtalloc-devel-2.1.9-2.fc27.armv7hl
├─gperftools-devel                                              gperftools-devel-2.6.1-1.fc27.armv7hl
├─libcmocka-devel                                               libcmocka-devel-1.1.1-5.fc27.armv7hl
├─icu                                                           icu-57.1-4.fc26.armv7hl
├─libtevent-devel                                               libtevent-devel-0.9.32-1.fc27.armv7hl
├─tcp_wrappers                                                  tcp_wrappers-7.6-87.fc27.armv7hl
├─gperftools-libs                                               gperftools-libs-2.6.1-1.fc27.armv7hl
└─svrcore-devel >= 4.1.3                                        svrcore-devel-4.1.3-1.fc27.armv7hl
bind-32:9.11.1-4.P3.fc27.src                                    
├─python3-devel                                                 python3-devel-3.6.2-6.fc27.armv7hl
├─libtool                                                       libtool-2.4.6-20.fc27.armv7hl
├─autoconf                                                      autoconf-2.69-24.fc26.noarch
├─pkgconfig                                                     pkgconf-pkg-config-1.3.8-1.fc27.armv7hl
├─systemd                                                       systemd-234-5.fc27.armv7hl
├─openssl-devel                                                 openssl-devel-1:1.1.0f-9.fc27.armv7hl
├─libxml2-devel                                                 libxml2-devel-2.9.4-4.fc27.armv7hl
├─sqlite-devel                                                  sqlite-devel-3.20.0-1.fc27.armv7hl
├─libxslt                                                       libxslt-1.1.29-2.fc27.armv7hl
├─docbook-style-xsl                                             docbook-style-xsl-1.79.2-4.fc26.noarch
├─openldap-devel                                                openldap-devel-2.4.45-3.fc27.armv7hl
├─postgresql-devel                                              postgresql-devel-9.6.3-6.fc27.armv7hl
├─krb5-devel                                                    krb5-devel-1.15.1-21.fc27.armv7hl
├─libcap-devel                                                  libcap-devel-2.25-7.fc27.armv7hl
├─libdb-devel                                                   libdb-devel-5.3.28-26.fc27.armv7hl
├─libidn-devel                                                  libidn-devel-1.33-4.fc27.armv7hl
├─GeoIP-devel                                                   GeoIP-devel-1.6.11-1.fc27.armv7hl
├─mariadb-devel                                                 mariadb-devel-3:10.2.7-2.fc27.armv7hl
└─python3-ply                                                   python3-ply-3.9-3.fc27.noarch
GeoIP-1.6.11-1.fc27.src                                         
├─make                                                          make-1:4.2.1-4.fc27.armv7hl
├─coreutils                                                     coreutils-8.27-14.fc27.armv7hl
├─zlib-devel                                                    zlib-devel-1.2.11-4.fc27.armv7hl
├─gcc                                                           gcc-7.1.1-7.fc27.1.armv7hl
└─sed                                                           sed-4.4-3.fc27.armv7hl
GeoIP-GeoLite-data-2017.06-1.fc27.src                           
gperftools-2.6.1-1.fc27.src                                     
├─perl-generators                                               perl-generators-1.10-5.fc27.noarch
└─libunwind-devel                                               libunwind-devel-1.2-1.fc27.armv7hl
libunwind-1.2-1.fc27.src                                        
├─libtool                                                       libtool-2.4.6-20.fc27.armv7hl
├─autoconf                                                      autoconf-2.69-24.fc26.noarch
├─automake                                                      automake-1.15-9.fc26.noarch
└─texlive-latex2man                                             texlive-latex2man-6:svn31989.1.24-35.fc27.1.noarch
perl-Mozilla-LDAP-1.5.3-22.fc27.src                             
├─perl-generators                                               perl-generators-1.10-5.fc27.noarch
├─perl(ExtUtils::MakeMaker)                                     perl-ExtUtils-MakeMaker-1:7.30-1.fc27.noarch
