INFO:depchase:DEPENDENCY INFORMATION                                                          
INFO                                                                          MATCH
perl-Algorithm-Diff-1.1903-7.fc27.src                                         
├─perl-generators                                                             perl-generators-1.10-5.fc27.noarch
├─perl(ExtUtils::MakeMaker)                                                   perl-ExtUtils-MakeMaker-1:7.30-1.fc27.noarch
├─perl                                                                        perl-4:5.26.0-398.fc27.armv7hl
├─perl(strict)                                                                perl-libs-4:5.26.0-398.fc27.armv7hl
├─perl(Carp)                                                                  perl-Carp-1.42-394.fc27.noarch
├─perl(Exporter)                                                              perl-Exporter-5.72-395.fc27.noarch
├─perl(vars)                                                                  perl-interpreter-4:5.26.0-398.fc27.armv7hl
├─perl(lib)                                                                   perl-interpreter-4:5.26.0-398.fc27.armv7hl
├─perl(Data::Dumper)                                                          perl-Data-Dumper-2.167-396.fc27.armv7hl
├─perl(Test)                                                                  perl-Test-1.30-398.fc27.noarch
└─perl(integer)                                                               perl-libs-4:5.26.0-398.fc27.armv7hl
perl-Archive-Tar-2.26-3.fc27.src                                              
├─perl-generators                                                             perl-generators-1.10-5.fc27.noarch
├─perl(Test::More)                                                            perl-Test-Simple-1:1.302086-1.fc27.noarch
├─perl(ExtUtils::MakeMaker)                                                   perl-ExtUtils-MakeMaker-1:7.30-1.fc27.noarch
├─perl                                                                        perl-4:5.26.0-398.fc27.armv7hl
├─perl(strict)                                                                perl-libs-4:5.26.0-398.fc27.armv7hl
├─perl(warnings)                                                              perl-libs-4:5.26.0-398.fc27.armv7hl
├─make                                                                        make-1:4.2.1-4.fc27.armv7hl
├─perl(Carp)                                                                  perl-Carp-1.42-394.fc27.noarch
├─perl(Exporter)                                                              perl-Exporter-5.72-395.fc27.noarch
├─findutils                                                                   findutils-1:4.6.0-14.fc27.armv7hl
├─perl(vars)                                                                  perl-interpreter-4:5.26.0-398.fc27.armv7hl
├─perl(lib)                                                                   perl-interpreter-4:5.26.0-398.fc27.armv7hl
├─perl(constant)                                                              perl-constant-1.33-395.fc27.noarch
├─perl(Config)                                                                perl-interpreter-4:5.26.0-398.fc27.armv7hl
├─perl(Data::Dumper)                                                          perl-Data-Dumper-2.167-396.fc27.armv7hl
├─perl(File::Temp)                                                            perl-File-Temp-0.230.400-394.fc27.noarch
├─perl(Cwd)                                                                   perl-PathTools-3.67-395.fc27.armv7hl
├─perl(File::Basename)                                                        perl-interpreter-4:5.26.0-398.fc27.armv7hl
├─perl(File::Path)                                                            perl-File-Path-2.15-1.fc27.noarch
├─perl(File::Find)                                                            perl-interpreter-4:5.26.0-398.fc27.armv7hl
├─perl(Getopt::Long)                                                          perl-Getopt-Long-1:2.50-3.fc27.noarch
├─perl(IO::Handle)                                                            perl-IO-1.38-398.fc27.armv7hl
├─perl(FindBin)                                                               perl-interpreter-4:5.26.0-398.fc27.armv7hl
├─perl(IO::File)                                                              perl-IO-1.38-398.fc27.armv7hl
├─perl(File::Copy)                                                            perl-interpreter-4:5.26.0-398.fc27.armv7hl
├─perl(Pod::Usage)                                                            perl-Pod-Usage-4:1.69-394.fc27.noarch
├─perl(IPC::Cmd)                                                              perl-IPC-Cmd-2:0.98-3.fc27.noarch
├─perl(Getopt::Std)                                                           perl-interpreter-4:5.26.0-398.fc27.armv7hl
├─perl(Text::Diff)                                                            perl-Text-Diff-1.44-4.fc27.noarch
├─perl(File::Spec::Unix)                                                      perl-PathTools-3.67-395.fc27.armv7hl
├─perl(File::Spec) >= 0.82                                                    perl-PathTools-3.67-395.fc27.armv7hl
├─perl(Test::Pod) >= 0.95                                                     perl-Test-Pod-1.51-6.fc27.noarch
├─perl(IO::Compress::Bzip2) >= 2.015                                          perl-IO-Compress-2.074-394.fc27.noarch
